run,seed,degraded1,onset1_s,rate1,fail1_s,recover1_s,degraded2,onset2_s,rate2,fail2_s,recover2_s,degraded3,onset3_s,rate3,fail3_s,recover3_s,t,method,active_provider,accuracy,latency_ms,reliability,utility,failover_event
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,103,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,104,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,105,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,106,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,107,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,108,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,109,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,110,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,111,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,112,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,113,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,114,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,115,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,116,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,117,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,118,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,119,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,120,qos_aware,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,0,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,1,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,2,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,3,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,4,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,5,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,6,availability_based,idt2a,0.97,20.0,0.99,0.925,0
0,1234,idt2b,13.042,0.14156,22.612,29.888,idt2a,46.833,0.06659,56.744,66.6,,,,,,7,availability_based,idt2a,0.97,20.0,0.99,0.925,0
